station_id,device_network,organisation_name,on_street,location_type,post_code,latitude,longitude,Connector,Connector_Type,Connector_KW,Connector_Type_List,Connector_Type_Merged_KW,Charger_Category
ef52eb8368b6c0434f0a44527ffbd9e9,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968732,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
0fbdcafcce2cb11f51c99c4d667b1488,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968632,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
598a3242360f1b7afc0b59475de711f7,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968532,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
712ac39ad32d1f36e2afc3388d9dec86,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968432,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
16ed29ce607dd940ec33787f09b61d93,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968332,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
4cf7fbdf88b8e8dc6f99b975754493e4,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968232,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
9745c8309fb3902f9b19a3b78d0cbdec,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968132,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
8ec959b57278128ac65607f07812f0fd,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.968032,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
ff2182172c8da2d80ebf6d0a22b749f2,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.969532,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
27f0681af3b501d1a5e313be097da0a6,Charge Your Car,Charge Your Car,False,Other,NE1 4DP,54.969432,-1.622436,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
